CoinT;1;1;1;0.0;0.0
CoinT;2;1;2;10.0;0.0
CoinT;3;1;3;10.0;10.0
CoinT;4;1;4;0.0;10.0
CoinT;5;1;1;10.0;0.0
CoinT;6;1;2;20.0;0.0
CoinT;7;1;3;10.0;10.0
CoinT;1;1;1;0.0;0.0
CoinT;2;1;2;20.0;0.0
CoinT;3;1;3;20.0;20.0
CoinT;4;1;4;0.0;20.0
CoinT;5;1;1;20.0;0.0
CoinT;6;1;2;30.0;0.0
CoinT;7;1;3;20.0;20.0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;10.0;0.0;0
CoinT;3;1;3;10.0;10.0;0
CoinT;4;1;4;0.0;10.0;0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;10.0;0.0;0
CoinT;3;1;3;10.0;10.0;0
CoinT;4;1;4;0.0;10.0;0
CoinT;5;1;1;10.0;0.0;0
CoinT;6;1;2;10.0;10.0;0
CoinT;7;1;3;0.0;10.0;0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;10.0;0.0;0
CoinT;3;1;3;10.0;10.0;0
CoinT;4;1;4;0.0;10.0;0
CoinT;5;1;1;10.0;0.0;0
CoinT;6;1;2;10.0;10.0;0
CoinT;7;1;3;20.0;0.0;0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;10.0;0.0;0
CoinT;3;1;3;10.0;10.0;0
CoinT;4;1;4;0.0;10.0;0
CoinT;5;1;1;10.0;0.0;0
CoinT;6;1;2;10.0;10.0;0
CoinT;7;1;3;20.0;0.0;0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;10.0;0.0;0
CoinT;3;1;3;10.0;10.0;0
CoinT;4;1;4;0.0;10.0;0
CoinT;5;1;1;10.0;0.0;0
CoinT;6;1;2;20.0;0.0;0
CoinT;7;1;3;10.0;10.0;0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;10.0;0.0;0
CoinT;3;1;3;10.0;10.0;0
CoinT;4;1;4;0.0;10.0;0
CoinT;5;1;1;10.0;0.0;0
CoinT;6;1;2;10.0;10.0;0
CoinT;7;1;3;20.0;0.0;0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;10.0;0.0;0
CoinT;3;1;3;10.0;10.0;0
CoinT;4;1;4;0.0;10.0;0
CoinT;5;1;1;10.0;0.0;0
CoinT;6;1;2;10.0;10.0;0
CoinT;7;1;3;20.0;0.0;0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;10.0;0.0;0
CoinT;3;1;3;10.0;10.0;0
CoinT;4;1;4;0.0;10.0;0
CoinT;5;1;1;10.0;0.0;0
CoinT;6;1;2;10.0;10.0;0
CoinT;7;1;3;20.0;0.0;0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;10.0;0.0;0
CoinT;3;1;3;10.0;10.0;0
CoinT;4;1;4;0.0;10.0;0
CoinT;5;1;1;10.0;0.0;0
CoinT;6;1;2;10.0;10.0;0
CoinT;7;1;3;0.0;20.0;0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;10.0;0.0;0
CoinT;3;1;3;10.0;10.0;0
CoinT;4;1;4;0.0;10.0;0
CoinT;5;1;1;10.0;0.0;0
CoinT;6;1;2;10.0;10.0;0
CoinT;7;1;3;20.0;0.0;0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;20.0;0.0;0
CoinT;3;1;3;0.0;20.0;0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;20.0;0.0;0
CoinT;3;1;3;0.0;20.0;0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;20.0;0.0;0
CoinT;3;1;3;0.0;20.0;0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;20.0;0.0;0
CoinT;3;1;3;20.0;20.0;0
CoinT;4;1;4;0.0;20.0;0
CoinT;5;1;1;20.0;0.0;0
CoinT;6;1;2;20.0;20.0;0
CoinT;7;1;3;40.0;0.0;0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;20.0;0.0;0
CoinT;3;1;3;20.0;20.0;0
CoinT;4;1;4;0.0;20.0;0
CoinT;5;1;1;20.0;0.0;0
CoinT;6;1;2;20.0;20.0;0
CoinT;7;1;3;40.0;0.0;0
CoinT;5;2;1;0.0;20.0;0
CoinT;6;2;2;0.0;40.0;0
CoinT;7;2;3;20.0;20.0;0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;0.0;20.0;0
CoinT;3;1;3;20.0;20.0;0
CoinT;4;1;4;20.0;0.0;0
CoinT;5;1;1;20.0;0.0;0
CoinT;6;1;2;20.0;20.0;0
CoinT;7;1;3;40.0;0.0;0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;0.0;20.0;0
CoinT;3;1;3;20.0;20.0;0
CoinT;4;1;4;20.0;0.0;0
CoinT;5;1;1;20.0;0.0;0
CoinT;6;1;2;20.0;20.0;0
CoinT;7;1;3;40.0;0.0;0
CoinT;5;2;1;0.0;20.0;0
CoinT;6;2;2;0.0;40.0;0
CoinT;7;2;3;20.0;20.0;0
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;10.0;0.0;0
CoinT;3;1;3;0.0;10.0;0
CoinT;1;1;1;0.0;0.0;1
CoinT;2;1;2;20.0;0.0;1
CoinT;3;1;3;0.0;20.0;1
CoinT;1;1;1;0.0;0.0;0
CoinT;2;1;2;0.0;20.0;0
CoinT;3;1;3;20.0;0.0;0
CoinT;1;1;1;0.0;5.0;1
CoinT;2;1;2;5.0;5.0;1
CoinT;3;1;3;5.0;0.0;1
